Combined_Review,Labels
"Khá hài lòng. Mình đã làm ở công ty này được nhiều năm, từ hồi kỹ năng còn chưa nhiều. Trong suốt thời gian đó, mình thật sự thấy đây là một môi trường rất tốt để học hỏi và gắn bó lâu dài. Phúc lợi ở đây phải nói là tốt nhất trong tất cả các công ty mình từng làm. Một năm có tới 20 ngày nghỉ phép, trợ cấp cơm trưa mỗi ngày, bảo hiểm xã hội đóng full theo lương thực tế (không phải lương cơ bản như nhiều nơi). Ngoài ra còn có hỗ trợ chi phí training, học thêm để phát triển kỹ năng. Mỗi năm công ty đều tổ chức du lịch hoặc team building, rất vui và gắn kết. Văn phòng thì đầy đủ tiện nghi, có khu pantry với cà phê, sữa tươi, snack miễn phí – đi làm cảm giác rất thoải mái, không bị gò bó. Nhân viên cũng được cấp đầy đủ thiết bị để làm việc, như màn hình rời, MacBook, chuột, bàn phím không cần tự trang bị gì thêm. Đồng nghiệp thân thiện, hỗ trợ nhau rất nhiều, đặc biệt là lúc mình còn mới. Mọi người chia sẻ kiến thức rất thoải mái, không giấu nghề, giúp mình tiến bộ nhanh hơn. Công ty cũng rất chú trọng công nghệ. Luôn khuyến khích áp dụng cái mới, từ việc dùng framework hiện đại, CI/CD, cho đến việc thử nghiệm AI, microservices Làm ở đây cảm giác không bị tụt hậu, luôn được học hỏi và cải thiện kỹ năng. Tóm lại, nếu bạn đang tìm một môi trường tốt về phúc lợi ổn định để làm lâu dài, văn hóa đồng đội tốt, thiết bị làm việc đầy đủ và công nghệ cập nhật thì đây là một nơi rất đáng để thử. Công ty không yêu cầu làm thêm giờ nhưng nếu có việc đột xuất cần thì vẫn tính lương làm thêm giờ cho nhân viên rất ok. Nếu công ty cải thiện giờ giấc làm việc như hybrid, work from home thì quá tuyệt vời.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Môi trường cởi mở, quy trình rõ, ít OT, phúc lợi minh bạch. Mình đang làm software engineer tại Vietlink. Môi trường làm việc ở đây khá thoải mái, đồng nghiệp thân thiện và hỗ trợ nhau tốt. Không khí trong team cởi mở, dễ chia sẻ – kể cả khi bạn mới vào cũng sẽ được hướng dẫn tận tình. Công việc có quy trình rõ ràng, sếp và team lead khá quan tâm đến cảm nhận và hiệu quả làm việc của nhân viên. Mọi người đều có thể đóng góp ý kiến để cải thiện cách làm việc chung. Mình thấy điều này khá hiếm ở nhiều nơi khác. Công ty cũng có những chính sách ổn về đãi ngộ và phúc lợi – không quá hoành tráng nhưng rõ ràng và minh bạch. Ngoài công việc thì cũng có các hoạt động nội bộ để nhân viên gắn kết với nhau hơn. Điều mình đánh giá cao nhất là sự lắng nghe. Ban lãnh đạo thực sự muốn hiểu nhân viên đang cần gì và luôn tạo cơ hội để mọi người chia sẻ thẳng thắn. Dù chưa phải lúc nào cũng hoàn hảo, nhưng công ty đang cải thiện từng bước. Nếu bạn đang tìm một nơi làm việc có văn hóa tích cực và không ngừng muốn tốt hơn, thì Vietlink là một lựa chọn đáng cân nhắc. Công ty làm rõ chính sách OT ngay từ đầu. Thỉnh thoảng mới OT khi thực sự cần thiết, còn lại thì khối lượng công việc được phân bổ hợp lý. Vietlink đang đi đúng hướng trong việc xây dựng môi trường làm việc tích cực. Tuy nhiên, mình nghĩ công ty có thể cải thiện thêm ở khâu quản lý công việc – ví dụ như tối ưu công cụ theo dõi task hoặc chuẩn hóa quy trình trao đổi giữa các bộ phận để giảm bớt việc chờ đợi và tăng tốc độ phản hồi.","Salary & benefits, Management cares about me, Culture & fun"
"Môi trường làm việc ổn nhưng trải nghiệm ngày cuối chưa thực sự tốt. Quy trình làm việc rõ ràng, nhiệm vụ được phân chia cụ thể nên khá dễ theo dõi, không OT. Sếp và đồng nghiệp luôn nhiệt tình hỗ trợ khi cần. Khối lượng công việc hợp lý nên hiếm khi phải làm thêm giờ. Chính sách OT khá rõ ràng. Công việc và quy trình của công ty nhìn chung ổn, nhưng trải nghiệm trong giai đoạn bàn giao/offboarding còn chưa thực sự nhất quán. Có trường hợp nhân viên được thông báo có thể kết thúc sớm sau khi bàn giao, nhưng HR lại có bình luận nói ""thiếu tinh tế"" sau đó. Điều này tạo cảm giác không được tôn trọng và để lại ấn tượng không tốt vào ngày cuối. Công ty có thể cải thiện cách giao tiếp nội bộ để tạo sự thống nhất hơn, đặc biệt trong những tình huống nhạy cảm như offboarding, nhằm giúp nhân viên cảm thấy được tôn trọng và tránh các hiểu lầm không đáng có.",Management cares about me
"sếp tốt việc làm nhàn rỗi, thích hợp người dưỡng già, lương entry thấp. Sếp nice, chịu khó phối hợp với entry level, vui vẻ thoải mái. K có ot, ot có lương, đa phần k OT chỉ một số team nhiều việc thì có. Lương entry level nên cải thiện, ăn trưa khó khăn, ngoài ra mọi thứ khá tốt.","Salary & benefits, Management cares about me, Culture & fun"
"Tốt để tích lũy kinh nghiệm, nhưng khó để phát triển. Môi trường làm việc tốt, mọi người thân thiện và hợp tác, tùy thuộc vào từng đội nhóm. Laptop và thiết bị được cung cấp đầy đủ. Mọi người rất hỗ trợ lẫn nhau, và giao tiếp rất suôn sẻ, không gặp nhiều rào cản hay khó khăn. Ít OT. Hầu như mọi người không OT nên không thể review chi tiết. Mức lương ở đây thấp và cảm giác là bị trả ít hơn xứng đáng. Rất nhiều điều cần cải thiện, vì lương cơ bản không cạnh tranh, và thưởng chỉ giới hạn ở lương tháng 13. Dù nỗ lực hết mình, nhưng mức thù lao không phản ánh đúng giá trị thị trường. Trong khi đó, công ty dường như có nhiều nhân viên ""thừa thãi."". Khi nói đến thù lao, các con số thật sự là đáng thất vọng, có phần thiếu tôn trọng. Cần phải đặt ra những câu hỏi nghiêm túc về năng lực của một PM, cả về kỹ năng và thái độ.","Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Môi trường làm việc thoải mái, đãi ngộ tốt. Công ty tạo dựng một môi trường làm việc thoải mái cho nhân viên. Mọi người trong công ty support lẫn nhau. Số lượng event được duy trì với quy mô vừa và tần suất đủ, không quá bắt nhân viên phải chạy team building. Mấy bác Nhật dễ thương, không ai có tư tưởng phân biệt. Đãi ngộ công ty tốt, một năm được tận 20 ngày nghỉ phép ~~. Làm việc vui vẻ, không quá khắt khe về mặt giờ giấc hay yêu cầu phải tham gia event liên tục. Quy trình dự án đang theo hướng linh động tùy dự án, nên có một quy trình tiêu chuẩn hơn. Vui hơn nữa càng tốt.","Salary & benefits, Culture & fun"
"Công ty thân thiện vui vẻ, phúc lợi tốt ~. Team HR siêu dễ thương, thân thiện. Luôn support từ lúc mới vào công ty. Đồng nghiệp và môi trường thân thiện, cởi mở, từ khi vào làm đến nay chưa va phải drama cá nhân nào. Mọi người bao gồm cả PM hay cấp trên luôn support nhau trong công việc. Công ty quản lý bởi người Nhật nhưng không có tình trạng phân biệt hay xúc phạm, miệt thị như ở một vài nơi khác. Chế độ công ty tốt, 1 năm có 20 ngày phép + 1 ngày off thành lập công ty. Lương, bảo hiểm, chế độ thưởng rõ ràng. Có chế độ trợ cấp học tập (Tuy vẫn hạn chế nhưng vẫn đủ để học thêm một vài skill khác ~ ). Ăn uống, event ngập mặt ngập mồm :v. Công ty thân thiện, vui vẻ ~. Chế độ tốt, rõ ràng. Lý tưởng để làm việc lâu dài. Scope công việc tùy team tùy dự án nhưng quy trình đôi chỗ vẫn chưa rõ ràng (Các mem trong công ty đang cùng đóng góp để cải thiện quy trình dự án). Nên cân nhắc flexible về mặt thời gian. Nên có các seminar, sharing về ngoại ngữ lẫn Technical để nâng cao kiến thức nhân viên.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Công ty vui vẻ, môi trường thoải mái. Môi trường thân thiện, đồng nghiệp vui vẻ. Có 20 ngày phép + 1 ngày nghỉ thành lập cty. Event đa dạng, vui vẻ. Pantry có cafe xịn cho mn. Có phụ cấp trainning. Dự án đa dạng, có nhiều dự án về cloud. Mọi người hỗ trợ, giúp đỡ nhau trong dự án. Sếp gần gũi, vui vẻ hoà đồng. Môi trường cởi mở, thoải mái. Cty tạo môi trường để phát triển bản thân. Đề xuất cty có thêm chế độ flexible time từ 8h-9h sáng để tăng sự linh hoạt trong công việc và thời gian. Cần thêm nhiều buổi sharing về technical, softskill để bổ sung kiến thức cho nhân viên.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Benefit tốt, OT rõ ràng. Chế độ phúc lợi tốt, đồng nghiệp giỏi, thân thiện. Công ty nhỏ, chế độ, lương bổng tốt. ngày phép năm, đóng bhxh full lương, văn phòng hiện đại. Có hỗ trợ tiền training. Công ty không OT, nếu có OT thì sẽ tiền OT rõ ràng nên các bạn không phải lo về khoản này. Không có gì cần cải thiện, đồng nghiệp khá tốt - nếu có sẽ cập nhật sau.","Salary & benefits, Training & learning, Culture & fun, Office & workspace"
"Phúc lợi OK, OT rõ ràng, phụ cấp allowance khá ổn. Hỗ trợ cà phê, sữa, giấy đầy đủ. Phúc lợi OK, đồng nghiệp zui dẻ không quạo, BO luôn luôn hỗ trợ, có hỗ trợ macbook riêng. Có quy trình OT rõ ràng, Cấp trên willing lắng nghe nhân viên. Improve nhà vệ sinh, hơi tối. Improve Máy làm việc các nhân máy hơi chậm.","Salary & benefits, Management cares about me, Office & workspace"
"Môi trường thân thiện. Đồng nghiệp thân thiện, support lẫn nhau. Dự án ko nhiều. Hay ăn uống. Có t13. Có BHSK của AAA. Lương thưởng rõ ràng , minh bạch. đúng giờ là về ko phải làm thêm giờ, project yêu cầu OT sẽ có tiền OT. Có nhiều dự án khó hơn để nhân viên luyện tay nghề. Process cần rõ ràng hơn, hiện ko có quy trình SLDC. Chưa đặt cao quality cho product. Giữa các team dev chưa có sự hợp tác.","Salary & benefits, Training & learning, Culture & fun"
"Cái nôi nuôi dưỡng những ước mơ. Cơ hội phát triển bản thân. Phát triển & nâng cao tính tự giác. Môi trường rèn luyện đa dạng. OT có tiền, nghe là ghiền. Đi kèm đó là trách nhiệm và tự giác, nếu không thì ngồi chỗ bạn sẽ là người khác. Thiếu dự án khó và thử thách. Quy trình làm việc còn nhiều chỗ gây nhầm lẫn.","Salary & benefits, Training & learning"
"Thoải mái và vui vẻ. Phúc lợi rất ok, bảo hiểm full lương. Vị trí văn phòng ở trung tâm. Rất ít OT, nếu có OT thì cũng rất rõ ràng và minh bạch. Môi trường làm việc thân thiên ,vui vẻ. Làm việc hybrid hoặc cho phép remote một số trường hợp với lý do phù hợp.","Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Thỏa mái và vui vẻ. Công ty nhỏ nhưng rất thỏa mái. Không quản lý khắc khe, làm mệt quá thì xuống dưới mua cafe uống thư giản, nhưng phải đảm bảo chất lượng công việc. Dự án mới có thể chọn new tech stack để làm. Có football club và badminton club. Mọi người trong công ty vui vẻ hòa đồng. năm được 20 ngày phép. Rất it OT trừ khi cần release vào những dịp đặc biệt cho client. Nếu OT thì có trả lương X2, rất fair. Nên có thêm các khóa traning tiếng anh cho staff.","Salary & benefits, Training & learning, Management cares about me, Culture & fun"
"Môi trường làm việc ổn định và thân thiện. Tôi đã làm việc tại Vietlink trong một thời gian và có thể nói rằng đây là một môi trường làm việc khá ổn định. Mọi thứ trong công ty đều diễn ra suôn sẻ và có trật tự, giúp tôi hoàn thành công việc một cách dễ dàng. Một điểm mà tôi thích ở Vietlink là văn hóa công ty rất thân thiện. Đồng nghiệp luôn sẵn sàng hỗ trợ nhau, tạo cảm giác thoải mái khi làm việc. Quy trình làm việc tại đây cũng rõ ràng, dễ hiểu, giúp tôi nắm bắt công việc nhanh chóng. Công ty cũng có một số phúc lợi hấp dẫn như bảo hiểm đầy đủ và các hoạt động giải trí sau giờ làm, giúp tôi cảm thấy được chăm sóc và cân bằng giữa công việc và cuộc sống. Mặc dù công việc hàng ngày không có quá nhiều điều mới mẻ, nhưng tôi vẫn đánh giá cao sự ổn định và môi trường làm việc tại đây. Điều này rất quan trọng cho những ai đang tìm kiếm một công việc không quá áp lực nhưng vẫn đảm bảo sự phát triển nghề nghiệp. Chính sách làm việc ngoài giờ rõ ràng minh bạch. Được kiểm duyệt bởi Leader. Công ty có thể xem xét thêm các chương trình đào tạo nội bộ để giúp nhân viên phát triển kỹ năng chuyên môn hơn nữa. Điều này sẽ không chỉ nâng cao hiệu quả công việc mà còn giúp giữ chân nhân tài lâu dài.","Salary & benefits, Training & learning, Culture & fun"
"Công ty môi trường tốt, thoải mái. Quyền lợi nhân viên:. Bảo hiểm toàn bộ lương, bao gồm bảo hiểm y tế bắt buộc và gói bảo hiểm y tế Generali bổ sung, với - các cuộc kiểm tra sức khỏe hàng năm. Mức lương cạnh tranh với tiền thưởng tháng thứ 13. ngày nghỉ phép hàng năm. Có package để cải thiện kỹ năng bản thân. Môi trường làm việc tích cực:. Văn phòng hiện đại và tối giản, với khu vực làm việc rộng rãi. Các đồng nghiệp thân thiện. Hầu như không có giờ làm thêm và nếu có, sẽ được tính OT tương ứng. Quy trình làm việc hiệu quả:. Mỗi nhân viên đều nhận được nhiệm vụ công việc rõ ràng, với các mục tiêu và thời hạn cụ thể. Công ty sử dụng hệ thống quản lý hiện đại để theo dõi tiến độ công việc và đánh giá hiệu suất của nhân viên. Hội đồng quản trị luôn sẵn sàng lắng nghe phản hồi của nhân viên. Nói chung, khá hài lòng với trải nghiệm làm việc tại đây. Công ty có mức lương và phúc lợi cũng trên baseline của thị trường. Có thể cho chọn làm việc remote vài ngày trong tuần.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Nhân viên thích ổn định (^-^). Có lương tháng 13. ngày phép/năm. Cấp laptop mới cho nhân viên khi mới vào làm tùy theo nhu cầu cá nhân có thể chọn Mac hoặc Window. Du lịch hàng năm. Khám sức khỏe hằng năm, ngoài BHYT bắt buộc còn có bảo hiểm Generali. Đóng Bảo hiểm full lương. OT hầu như không có, nếu có thì chi phí rõ ràng đầy đủ. Hàng tháng tổ chức tiệc mừng sinh nhật. Trong team luôn được giải đáp các khó khăn khi chia sẻ vấn đề. Các team cùng chung dự án thì hổ trợ nhanh đưa ra ý đóng góp để hoàn thành tốt công việc. Anh em cũng có thể giao lưu hoạt động đá banh vào mỗi buổi tối thứ 6 hàng tuần. Chính sách OT rõ ràng, tiền làm thêm không được chuyển riêng không tính vào tổng lương. Thêm không gian buổi trưa như chơi bida, bi lắc nữa thì tuyệt.","Salary & benefits, Culture & fun"
"Công ty môi trường tốt, thoải mái và khá flexible. Công ty cấp Macbook xịn. Có budget (200 USD) do công ty hỗ trợ để mua khoá học, sách. Mật độ task được điều chỉnh hợp lý không quá dày đặt. Nhiều ngày nghỉ phép tha hồ đi du lịch. Thỉnh thoảng hay có quà đồ ăn + uống từ các sếp khi đi công tác nước ngoài về. Tủ lạnh đầy đủ các nước uống (có bia). Chế độ OT đúng quy định nhà nước. Công ty cũng ít khi có OT. Nên có chế độ làm việc linh động hơn (WFH, hoặc tối thiểu là Hybrid) vì có nhiều đồng nghiệp ở xa, hoặc có người thân bị ốm. Có thể linh động giờ làm việc, miễn đủ 8 tiếng 1 ngày.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Công ty ổn, môi trường làm việc thoải mái, đồng nghiệp thân thiện, phúc lợi tốt. Được cấp Macbook, cơ sở vật chất đầy đủ. Chế độ phúc lợi tốt, 20 ngày phép năm, bảo hiểm full lương, được cấp 4 triệu/năm để học khóa học. Đồng nghiệp, sếp nhiệt tình, hỗ trợ tốt trong công việc. Rất ít OT, hầu như không có OT. Cần có pantry riêng với khu vực làm việc. Thêm chế độ kết hợp làm việc tại nhà.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Cảm thấy Hài lòng. Chế độ phúc lợi tốt:. Lương thưởng: Mức lương cạnh tranh, có lương tháng 13 & thưởng phụ thuộc tình hình kinh doanh công ty. Bảo hiểm: Đóng Bảo hiểm full lương, ngoài BHYT bắt buộc còn có gói bảo hiểm sức khỏe Generali, khám sức khỏe hằng năm. Nghỉ phép: 20 ngày phép/năm !!! Các chế độ phúc lợi khác: Công ty còn có nhiều phúc lợi khác như tiệc sinh nhật hằng tháng, miễn phí gửi xe, có các hoạt động vui chơi giải trí cho nhân viên (câu lạc bộ bóng đá). Môi trường làm việc tốt:. Cơ sở vật chất: Văn phòng đơn giản hiện đại, không gian làm việc rộng rãi. Văn hóa công ty: Mọi người thân thiện, cởi mở, sẵn sàng hỗ trợ, học hỏi lẫn nhau. Cân bằng giữa công việc và cuộc sống: Hầu như không có OT, nếu có OT sẽ được trả lương OT. Quy trình làm việc khoa học:. Phân công công việc rõ ràng: Mỗi nhân viên đều được phân công công việc rõ ràng, có mục tiêu và deadline cụ thể. Hệ thống quản lý hiệu quả: Công ty sử dụng hệ thống quản lý hiện đại giúp theo dõi tiến độ công việc, đánh giá hiệu quả công việc của nhân viên. Giao tiếp cởi mở: BOD luôn cởi mở lắng nghe ý kiến đóng góp của nhân viên. Chia sẻ trải nghiệm làm việc của mình tại công ty, nói chung là hài lòng. Nên có thêm các hình thức giải trí ở VP & tuyển thêm nhân viên nữ >_<.","Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Công ty khá ngon, môi trường tốt, phúc lợi tốt. Công ty khá tốt, sếp + đồng nghiệp ổn. Phúc lợi ngon, được cấp MacBook Pro, bảo hiểm full lương, phép nhiều nghỉ thoải mái, có khám sức khoẻ hàng năm. Quy trình rõ ràng, lương, thưởng, OT sòng phẳng không bị nợ. Văn phòng hơi chật nhưng được cái cây nhiều, view đẹp, ở ngay trung tâm thành phố. Điểm trừ là phong trào thể thao ít, có mỗi bóng đá, nên thêm vài môn nữa thì tốt hơn. Quy định OT rõ ràng, tính đúng giờ, trả lương đầy đủ. Thêm nhiều hoạt động vui chơi, team building cho nhân viên nữa thì tuyệt vời!!!","Salary & benefits, Culture & fun, Office & workspace"
"Phúc lợi tốt, được cấp Macbook. Phúc lợi rất ok, bảo hiểm full lương. Cấp thiết bị xịn (Macbook). Vị trí văn phòng ở trung tâm. Rất ít OT, nếu có OT thì cũng rất rõ ràng và minh bạch.","Salary & benefits, Office & workspace"
"Đồng nghiệp thân thiện, ít OT. Không có chế độ làm việc Hybrid, công ty ở trung tâm nên ăn uống sẽ không thoải mái. Đồng nghiệp thân thiện, được cấp MacBook, sếp quan tâm nhân viên. Cần có thêm chế độ làm việc từ xa cũng như hybrid.","Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Sếp tốt, đồng nghiệp nhiệt tình. Văn phòng đẹp, có pantry, view đẹp. Công ty it OT, OT có range rõ ràng và chi trả đầy đủ. Lương cho fresher hơi thấp, có lẽ nên tăng cho bằng mặt bằng chung.","Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Nhân viên vui vẻ hoà đồng, được cấp macbook mới khi làm việc. Benefit tốt, chị HR cũng khá được lòng mọi người, nói chung là ok nếu muốn sự ổn định. rất ít khi OT, nhưng khi OT thì rất rõ ràng và minh bạch. Nên có nhiều event vui chơi giải trí trong công ty để tạo thêm sự gắn kết giữa các team lại với nhau.","Salary & benefits, Management cares about me, Culture & fun"
Công ty chế độ tốt. sếp tốt. nhân vien hoà đồng. Văn phòng đẹp. nhân viên được cấp macbook. nội thất nổi bật. bàn ghế rất chắc chắn và đẹp. lâu lâu cty có sale đồ nội thất giá rẻ cho nhân viên để thay nội thất mới. Thích cái ghế salon của cty mỗi trưa đều năm ngủ trên đó. rất minh bạch và công khai về vấn đề OT cũng hạn chế để nhan vien phài làm OT. nhà vê sinh cty không có cây xịt nước. rất khó chịu và trăn trở về vấn đề này.,"Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Phù hợp với người muốn ổn định. Văn phòng đẹp, không gian thoáng mất, rộng rãi, thiết bị cấp đầy đủ (macbook, ) phúc lợi tốt (lễ tết, bánh trung thu, bảo hiểm thêm, đóng bảo hiểm full lương). OT 1.5 lương, nhưng rất khi OT vi tất cả đã có kế hoặc. Có team làm việc cho Nhật đôi khi không phù hợp với người thích sáng tạo, đổi mới.","Salary & benefits, Culture & fun, Office & workspace"
"Đồng nghiệp vui vẻ, hoà đồng nhưng khó phát triển bản thân. Văn phòng nằm ở Saigon Centre, toà nhà cao, an ninh và view đẹp. Có lớp tiếng anh cho nhân viên. Hầu như không có OT, nếu có thì chi phí rõ ràng đầy đủ. Môi trường chậm phát triển, chơi nhiều hơn làm. Manager thay vì họp nói chuyện riêng nhắc nhở nhân viên thì chửi bất kể, chửi công khai. Thiếu tranning, học hỏi phát triển.","Training & learning, Culture & fun, Office & workspace"
"Công ty tốt, môi trường làm việc tốt. Công ty thân thiện, vui vẻ, thoải mái. Văn phòng thoáng mát đẹp. Quy định OT rất rõ ràng, không ăn gian giờ của nhân viên.","Management cares about me, Culture & fun, Office & workspace"
Đồng nghiệp thân thiện. Văn phòng đẹp. PM tốt bụng. Đồng nghiệp vui vẻ. Lương khá. OT x1.5. Công ty nhật nên giờ giấc phải đúng. Chỗ để xe ở B6 đi hơi lâu.,"Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
"Môi trường làm việc thân viện, văn phòng đẹp. Môi trường làm việc khá vui vẻ và thân thiện, các chế độ chăm sóc nhân viên ăn uống và hoạt đông thể thục thể thao rất tốt. Lương và phúc lợi khá ổn. Công ty không có OT nên thời gian làm việc và dành cho gia đình khá ổn. Nên có thêm các hoạt động đào tạo, du lịch tăng lên 2 lần 1 năm càng tốt.","Salary & benefits, Training & learning, Management cares about me, Culture & fun, Office & workspace"
"Môi trường làm việc vui vẻ. Quan tâm nhiều đến đời sống tinh thần nhân viên, đặc biệt là Mental Health. Công ty không có OT. Lộ trình phát triển rõ ràng. Có nhiều buổi engagement cho team. Quan tâm nhiều đến đời sống tinh thần nhân viên. Thêm nhiều hoạt động liên quan đến thể thao, các buổi sharing từ các bộ phận.","Management cares about me, Culture & fun"
"Cơ hội việc làm. Là công ty AI nên luôn khuyến khích nhân viên ứng dụng những công nghệ tiên tiến nhất vào công việc để tăng hiệu suất cũng như chất lượng. Cơ hội thăng tiến rộng mở đối với cả các vị trí tech và non-tech. Có nhiều hoạt động như sport clubs, happy thursday, v.v. Neurond là một trong những công ty AI lớn ở Đà Nẵng. Văn phòng hơi xa trung tâm thành phố nên hơi tốn thời gian di chuyển. Nhưng một điểm cộng là giờ làm việc flexible nên cũng không thành vấn đề.","Training & learning, Culture & fun, Office & workspace"
"Môi trường, lương thưởng Ok. Văn phòng rộng rãi, đồng nghiệp vui tính, sẵn sàng giúp đỡ trong công việc nếu bạn chủ động. Sếp hơi nóng tính trong công việc. Tuy nhiên, ngoài công việc ra thì sếp là người rất tốt bụng, lo nghĩ cho nhân viên. không có tiền OT đâu, nhưng ít phải OT lắm, chỉ có các anh lớn mới OT nhiều.","Salary & benefits, Management cares about me, Culture & fun, Office & workspace"
